gene1,strand1,chrom1,gene2,strand2,chrom2,RNA_split_read_count,variant_count,DNA_split_reads_at_variants,variant_names,transcript_length,score
RP11-1084J3.4,sense,5,RP11-497H16.6,sense,5,2,1,20,5431,52985753,22.00
RP11-1084J3.4,sense,5,RP11-497H16.6,sense,5,2,1,20,5431,52985753,22.00
RP11-1084J3.4,sense,5,RP11-497H16.6,antisense,5,2,1,20,5431,52981237,22.00
RP11-1084J3.4,sense,5,RP11-497H16.6,antisense,5,2,1,20,5431,52981237,22.00
RP11-1084J3.4,antisense,5,RP11-497H16.6,sense,5,2,1,20,5431,52848399,22.00
RP11-1084J3.4,antisense,5,RP11-497H16.6,sense,5,2,1,20,5431,52848399,22.00
RP11-1084J3.4,antisense,5,RP11-497H16.6,antisense,5,2,1,20,5431,52843883,22.00
RP11-1084J3.4,antisense,5,RP11-497H16.6,antisense,5,2,1,20,5431,52843883,22.00
RP11-1084J3.4,sense,5,RP11-497H16.6,sense,5,2,0,,,35683789,0.00
RP11-1084J3.4,sense,5,RP11-497H16.6,antisense,5,2,0,,,35679273,0.00
RP11-1084J3.4,antisense,5,RP11-497H16.6,sense,5,2,0,,,35821143,0.00
RP11-1084J3.4,antisense,5,RP11-497H16.6,antisense,5,2,0,,,35816627,0.00
LRRFIP2,antisense,3,SUMF1,antisense,3,18,1,46,3670,234817,104.00
LRRFIP2,sense,3,SUMF1,sense,3,18,1,19,3700,11274681,21.00
LRRFIP2,sense,3,SUMF1,sense,3,18,2,15|19,3641|3700,10485592,21.00
LRRFIP2,antisense,3,SUMF1,antisense,3,18,4,15|45|24|46,3641|3696|3643|3670,20066117,21.00
LRRFIP2,antisense,3,SUMF1,antisense,3,18,4,24|45|15|46,3643|3696|3641|3670,20066117,21.00
LRRFIP2,antisense,3,SUMF1,sense,3,18,1,19,3700,11143618,21.00
LRRFIP2,antisense,3,SUMF1,sense,3,18,2,15|19,3641|3700,10354529,21.00
LMCD1-AS1,antisense,3,MECOM,antisense,3,6,1,55,3388,374579,105.00
GSDMB,antisense,17,TATDN1,antisense,8,95,1,123,27150,9045,162.00
GSDMB,antisense,17,TATDN1,antisense,8,95,1,89,27151,9587,158.00
LMCD1-AS1,antisense,3,RP11-3K16.2,antisense,3,6,1,55,3388,334912,105.00
LMCD1-AS1,antisense,3,RP11-3K16.2,sense,3,6,1,55,3388,324471,75.00
RP11-1084J3.4,sense,5,RP11-497H16.5,antisense,5,2,1,20,5431,53028424,22.00
RP11-1084J3.4,sense,5,RP11-497H16.5,antisense,5,2,1,20,5431,53028424,22.00
RP11-1084J3.4,sense,5,RP11-497H16.5,sense,5,2,1,20,5431,52989545,22.00
RP11-1084J3.4,sense,5,RP11-497H16.5,sense,5,2,1,20,5431,52989545,22.00
RP11-1084J3.4,antisense,5,RP11-497H16.5,antisense,5,2,1,20,5431,52891070,22.00
RP11-1084J3.4,antisense,5,RP11-497H16.5,antisense,5,2,1,20,5431,52891070,22.00
RP11-1084J3.4,antisense,5,RP11-497H16.5,sense,5,2,1,20,5431,52852191,22.00
RP11-1084J3.4,antisense,5,RP11-497H16.5,sense,5,2,1,20,5431,52852191,22.00
RP11-1084J3.4,sense,5,RP11-497H16.5,antisense,5,2,0,,,35726460,0.00
RP11-1084J3.4,sense,5,RP11-497H16.5,sense,5,2,0,,,35687581,0.00
RP11-1084J3.4,antisense,5,RP11-497H16.5,antisense,5,2,0,,,35863814,0.00
RP11-1084J3.4,antisense,5,RP11-497H16.5,sense,5,2,0,,,35824935,0.00
MALAT1,antisense,11,TMPRSS4,sense,11,2,3,16|11|12,27139|27093|27125,7024172,21.00
MALAT1,antisense,11,TMPRSS4,antisense,11,2,3,16|11|12,27139|27093|27125,7069024,21.00
MALAT1,sense,11,TMPRSS4,sense,11,2,3,16|11|12,27139|27093|27125,7015465,21.00
MALAT1,sense,11,TMPRSS4,antisense,11,2,3,16|11|12,27139|27093|27125,7060317,21.00
MALAT1,antisense,11,TMPRSS4,sense,11,2,0,,,52718665,0.00
MALAT1,antisense,11,TMPRSS4,antisense,11,2,0,,,52673813,0.00
MALAT1,sense,11,TMPRSS4,sense,11,2,0,,,52727372,0.00
MALAT1,sense,11,TMPRSS4,antisense,11,2,0,,,52682520,0.00
CORO2A,sense,9,GCNT1,sense,9,2,2,14|16,27210|27211,21833245,21.00
CORO2A,sense,9,GCNT1,antisense,9,2,2,14|16,27210|27211,21920825,21.00
CORO2A,antisense,9,GCNT1,sense,9,2,2,14|16,27210|27211,21761580,21.00
CORO2A,antisense,9,GCNT1,antisense,9,2,2,14|16,27210|27211,21849160,21.00
CORO2A,sense,9,GCNT1,sense,9,2,0,,,21832590,0.00
CORO2A,sense,9,GCNT1,antisense,9,2,0,,,21920170,0.00
CORO2A,antisense,9,GCNT1,sense,9,2,0,,,21760925,0.00
CORO2A,antisense,9,GCNT1,antisense,9,2,0,,,21848505,0.00
AC023590.1,antisense,8,ERBB2,sense,17,5,3,15|42|89,12308|10007|27151,713882,21.00
AC023590.1,antisense,8,ERBB2,sense,17,5,3,15|42|123,12308|10007|27150,713340,21.00
AC023590.1,sense,8,ERBB2,antisense,17,5,3,15|117|89,12308|10009|27151,873568,21.00
AC023590.1,sense,8,ERBB2,antisense,17,5,3,15|10|123,12308|10006|27150,875621,21.00
AC023590.1,sense,8,ERBB2,antisense,17,5,3,15|10|89,12308|10006|27151,876163,21.00
AC023590.1,sense,8,ERBB2,antisense,17,5,3,15|42|123,12308|10007|27150,874318,21.00
AC023590.1,sense,8,ERBB2,antisense,17,5,3,15|42|89,12308|10007|27151,874860,21.00
AC023590.1,sense,8,ERBB2,sense,17,5,3,15|117|123,12308|10009|27150,830514,21.00
AC023590.1,sense,8,ERBB2,sense,17,5,3,15|117|89,12308|10009|27151,831056,21.00
AC023590.1,sense,8,ERBB2,sense,17,5,3,15|10|123,12308|10006|27150,833109,21.00
AC023590.1,sense,8,ERBB2,sense,17,5,3,15|10|89,12308|10006|27151,833651,21.00
AC023590.1,sense,8,ERBB2,sense,17,5,3,15|42|123,12308|10007|27150,831806,21.00
AC023590.1,sense,8,ERBB2,sense,17,5,3,15|42|89,12308|10007|27151,832348,21.00
AC023590.1,antisense,8,ERBB2,antisense,17,5,3,15|117|123,12308|10009|27150,754560,21.00
AC023590.1,antisense,8,ERBB2,antisense,17,5,3,15|117|89,12308|10009|27151,755102,21.00
AC023590.1,antisense,8,ERBB2,antisense,17,5,3,15|10|123,12308|10006|27150,757155,21.00
AC023590.1,antisense,8,ERBB2,antisense,17,5,3,15|10|89,12308|10006|27151,757697,21.00
